dataset,f0,f1,covariate fidelity
tvae_ihdp_0.csv,0.34065934065934067,0.019753086419753152,0.07946656612430825
ctgan_ihdp_4.csv,0.32596975673898754,0.02007168458781372,0.07699247713000001
ddpm_ihdp_1.csv,0.47281858129315757,0.05700483091787434,0.13437847389265928
ctgan_ihdp_0.csv,0.45371428571428574,0.032888888888888856,0.1111950872272157
arf_ihdp_3.csv,0.33179190751445076,0.01399176954732495,0.07312727045419307
ddpm_ihdp_2.csv,0.46654456654456655,0.004938271604938205,0.09083288338085298
tvae_ihdp_4.csv,0.4673939393939395,0.0,0.0869715630197558
ddpm_ihdp_3.csv,0.4635491606714628,0.0,0.086256135653726
tvae_ihdp_3.csv,0.408578431372549,0.017857142857142905,0.09056163964916626
nflow_ihdp_3.csv,0.2708708708708708,0.051851851851851816,0.09260639488216457
ddpm_ihdp_0.csv,0.4888888888888888,0.008888888888888835,0.09820615796519404
arf_ihdp_1.csv,0.2669255663430421,0.03450980392156855,0.07775718140026308
arf_ihdp_4.csv,0.2942931258106356,0.07209302325581401,0.11343949481554655
arf_ihdp_0.csv,0.2807493540051679,0.0452380952380953,0.08906147538350773
tvae_ihdp_2.csv,0.33248175182481754,0.002564102564102555,0.06395440142252207
nflow_ihdp_1.csv,0.17452471482889742,0.06666666666666654,0.0867366381453146
arf_ihdp_2.csv,0.23482200647249185,0.06980392156862747,0.10051009800990879
nflow_ihdp_4.csv,0.17236411263916185,0.03296703296703285,0.058905713120213476
ctgan_ihdp_3.csv,0.45407407407407396,0.054444444444444295,0.12880658436213976
nflow_ihdp_0.csv,0.1680823680823681,0.02276422764227637,0.04980468483260134
ddpm_ihdp_4.csv,0.5481081081081081,0.026666666666666616,0.12369526152658677
ctgan_ihdp_2.csv,0.4160565189466924,0.05020576131687238,0.11828240831894062
tvae_ihdp_1.csv,0.33672111312764663,0.0,0.06265627138519796
nflow_ihdp_2.csv,0.22577132486388385,0.04897959183673484,0.08187658098101022
ctgan_ihdp_1.csv,0.3600255427841633,0.009401709401709368,0.07464496621584739
real,0.9990963399879008,0.9948896055569337,0.9956723847883988
