method,epsilon,f,c,d,avg_u_pehe
standard,15,0.059649122807017396,0.015512465373961337,0.6716067841777749,2.162875771522522
sequential,15,0.03758079409048931,0.04496768236380422,0.5336313500787249,0.4987882971763611
standard,15,0.053000923361034125,0.04192059095106204,0.19487881619468495,3.3414870351552963
sequential,15,0.04884579870729444,0.03277931671283474,0.7233681652916428,0.5791846290230751
standard,15,0.054847645429362823,0.05632502308402598,0.5028265471122157,3.3373270332813263
sequential,15,0.152354570637119,0.08956602031394267,0.8455357675636915,0.5074033476412296
standard,15,0.05974145891043392,0.008033240997229907,0.5139726151565815,1.452953815460205
sequential,15,0.042012927054478566,0.05632502308402587,0.6419702744530853,0.4622892178595066
standard,15,0.0939981532779317,0.08633425669436756,0.7152018156258115,2.3224108070135117
sequential,15,0.03610341643582626,0.06897506925207764,0.8321410616335461,0.5688980519771576
standard,15,0.05881809787626957,0.05512465373961217,0.6076935812005109,1.8712010756134987
sequential,15,0.04662973222529998,0.04339796860572487,0.8917113722065643,0.5573565512895584
standard,15,0.07091412742382275,0.05503231763619554,0.11905978255308536,1.4053180068731308
sequential,15,0.0902123730378579,0.05401662049861489,0.7092249878439616,0.49496331810951233
standard,15,0.0928901200369342,0.07950138504155102,0.4397849454389623,2.618107259273529
sequential,15,0.02880886426592766,0.03222530009233604,0.6925456683618783,0.5003566220402718
standard,15,0.05309325946445054,0.025392428439519943,0.2414158395668008,2.057244285941124
sequential,15,0.06768236380424741,0.05438596491228076,0.6904063972677561,0.47570451349020004
standard,15,0.12336103416435817,0.09704524469067399,0.818592226898712,1.4719165712594986
sequential,15,0.07017543859649122,0.06315789473684197,0.8584413301880534,0.5497464686632156
standard,20,0.06823638042474611,0.05604801477377641,0.1123242872164586,1.3839853554964066
sequential,20,0.08365650969529104,0.06158818097876262,0.8451240920854852,0.5195008814334869
