dataset,D
nflow_acic_0.csv,0.7196422591988774
arf_acic_3.csv,0.7069095005042602
nflow_acic_4.csv,0.7088224172917234
ctgan_acic_2.csv,0.7218442066350169
tvae_acic_0.csv,0.7019093759693193
ddpm_acic_0.csv,0.7094001442855983
arf_acic_1.csv,0.7408699244384465
arf_acic_2.csv,0.7072681854642907
nflow_acic_2.csv,0.712177475984405
tvae_acic_2.csv,0.7026543380894386
ctgan_acic_4.csv,0.7166731571629658
ddpm_acic_2.csv,0.7047096075325253
ctgan_acic_1.csv,0.7257912359427287
arf_acic_0.csv,0.7097963868800887
arf_acic_4.csv,0.708187656866548
ctgan_acic_3.csv,0.7072916020061923
tvae_acic_1.csv,0.7052664886424226
ctgan_acic_0.csv,0.7117785806135434
ddpm_acic_1.csv,0.7119822915749675
ddpm_acic_3.csv,0.7124231636473995
tvae_acic_3.csv,0.70533369506583
tvae_acic_4.csv,0.7300794487684017
ddpm_acic_4.csv,0.710764135398974
nflow_acic_1.csv,0.7290946516989838
nflow_acic_3.csv,0.7353434759325161
real,1.0
