n_known,u_pehe
1.0,3.7172341346740723
1.0,4.220673501491547
1.0,3.9809206128120422
1.0,3.8850589394569397
1.0,4.170182645320892
2.0,3.1953298449516296
2.0,3.4555519223213196
2.0,3.3205968141555786
2.0,2.941630482673645
2.0,3.19885390996933
3.0,2.388416588306427
3.0,2.4873016476631165
3.0,2.323034167289734
3.0,2.4679625034332275
3.0,2.4824694097042084
4.0,1.5518765151500702
4.0,1.5440203547477722
4.0,1.6539436876773834
4.0,1.7774910628795624
4.0,1.6564033031463623
5.0,0.9053832367062569
5.0,1.085942730307579
5.0,0.7418356388807297
5.0,0.7618942707777023
5.0,0.7933190762996674
