n_small,beta_recall,d
1.0,0.999387731876636,0.5
1.0,0.998465915557073,0.5
1.0,0.9993717992488904,0.5
1.0,0.9992557186753158,0.5
1.0,0.9993217252759758,0.5
1.0,0.999387731876636,0.5
1.0,0.999387731876636,0.5
1.0,0.999387731876636,0.5
1.0,0.9993217252759758,0.5
1.0,0.9994127688630932,0.5
2.0,0.9976493125986027,0.6666666666666666
2.0,0.9981586657651567,0.6666666666666666
2.0,0.9993035835023665,0.6666666666666666
2.0,0.999190894748704,0.6666666666666666
2.0,0.9939328375028172,0.6666666666666666
2.0,0.9928127112914131,0.6666666666666666
2.0,0.9913950867703403,0.6666666666666666
2.0,0.995913905792202,0.6666666666666666
2.0,0.99491322965968,0.6666666666666666
2.0,0.9968086544962813,0.6666666666666666
3.0,0.9862225198080572,0.75
3.0,0.9927708961053454,0.75
3.0,0.9932708403080014,0.75
3.0,0.989329315924562,0.75
3.0,0.9827206784957037,0.75
3.0,0.9798727820555742,0.75
3.0,0.9913938176542797,0.75
3.0,0.9862158241267716,0.75
3.0,0.9924294163597813,0.75
3.0,0.992371387121973,0.75
4.0,0.9848541114058356,0.8
4.0,0.9768412908930151,0.8
4.0,0.9895424403183024,0.8
4.0,0.9773717948717948,0.8
4.0,0.9843700265251989,0.8
4.0,0.985,0.8
4.0,0.9802387267904509,0.8
4.0,0.9882603890362511,0.8
4.0,0.9949602122015915,0.8
4.0,0.9798297966401415,0.8
5.0,0.9929414340448823,0.8333333333333334
5.0,0.9742222222222222,0.8333333333333334
5.0,0.9816770662287904,0.8333333333333334
5.0,0.9799671592775041,0.8333333333333334
5.0,0.9932501368363438,0.8333333333333334
5.0,0.9831833607006021,0.8333333333333334
5.0,0.9829534756431308,0.8333333333333334
5.0,0.9868199233716475,0.8333333333333334
5.0,0.9782375478927203,0.8333333333333334
5.0,0.9874285714285714,0.8333333333333334
6.0,0.9841270873996963,0.8571428571428571
6.0,0.9736477987421384,0.8571428571428571
6.0,0.97,0.8571428571428571
6.0,0.9892973324658426,0.8571428571428571
6.0,0.9779245283018868,0.8571428571428571
6.0,0.9920147473433095,0.8571428571428571
6.0,0.9945673389720234,0.8571428571428571
6.0,0.9853220559531555,0.8571428571428571
6.0,0.9761830405551941,0.8571428571428571
6.0,0.9883647798742139,0.8571428571428571
7.0,0.975849178214631,0.875
7.0,0.9882328928993447,0.875
7.0,0.9871436244494576,0.875
7.0,0.9747899881834784,0.875
7.0,0.972884305510796,0.875
7.0,0.9865656891180578,0.875
7.0,0.9881619937694704,0.875
7.0,0.9829842088301644,0.875
7.0,0.971214953271028,0.875
7.0,0.9766312171017295,0.875
8.0,0.9746275010642826,0.8888888888888888
8.0,0.9926479352916134,0.8888888888888888
8.0,0.9876160068114092,0.8888888888888888
8.0,0.9911004682843764,0.8888888888888888
8.0,0.9823967645806726,0.8888888888888888
8.0,0.9777777777777777,0.8888888888888888
8.0,0.9745338441890166,0.8888888888888888
8.0,0.970338441890166,0.8888888888888888
8.0,0.9771604938271605,0.8888888888888888
8.0,0.9515432098765432,0.8888888888888888
9.0,0.9639143730886851,0.9
9.0,0.9808330697036803,0.9
9.0,0.9843741432036276,0.9
9.0,0.9715596330275229,0.9
9.0,0.9790825688073395,0.9
9.0,0.9818960244648318,0.9
9.0,0.9816007592534008,0.9
9.0,0.9872550880523041,0.9
9.0,0.9904587155963303,0.9
9.0,0.9640366972477065,0.9
10.0,0.9612727272727273,0.9090909090909091
10.0,0.982662486938349,0.9090909090909091
10.0,0.9674545454545455,0.9090909090909091
10.0,0.9881692789968652,0.9090909090909091
10.0,0.9864305120167189,0.9090909090909091
10.0,0.98521421107628,0.9090909090909091
10.0,0.967324973876698,0.9090909090909091
10.0,0.9891619644723093,0.9090909090909091
10.0,0.9907941483803553,0.9090909090909091
10.0,0.9492727272727273,0.9090909090909091
