n_cov,avg propensity real,avg propensity synth,kl,beta recall
1.0,0.5034901485589859,0.47335037358747295,0.9917206106603035,0.5181333333333333
1.0,0.5048388977604454,0.4758742152984561,0.9922448171110632,0.47466666666666657
1.0,0.5048388977604454,0.4758742152984561,0.9922448171110632,0.47466666666666657
10.0,0.5017411883126118,0.4786033395612685,0.8916970215418476,0.3376
10.0,0.5017411883126118,0.4786033395612685,0.8916970215418476,0.3376
10.0,0.5017411883126118,0.4786033395612685,0.8916970215418476,0.3376
20.0,0.49462999255700085,0.49600613975459745,0.5327082991929376,0.13219999999999987
20.0,0.49462999255700085,0.49600613975459745,0.5327082991929376,0.13219999999999987
20.0,0.49462999255700085,0.49600613975459745,0.5327082991929376,0.13219999999999987
30.0,0.512277515266002,0.2864480393008387,0.33045124988409513,0.023933333333333473
30.0,0.512277515266002,0.2864480393008387,0.33045124988409513,0.023933333333333473
30.0,0.512277515266002,0.2864480393008387,0.33045124988409513,0.023933333333333473
40.0,0.4971469206342217,0.03486798556760337,0.05776730366467423,0.0
40.0,0.4971469206342217,0.03486798556760337,0.05776730366467423,0.0
40.0,0.4971469206342217,0.03486798556760337,0.05776730366467423,0.0
50.0,0.4811781517921034,0.006343684862063505,0.053507238319081184,0.0
50.0,0.4811781517921034,0.006343684862063505,0.053507238319081184,0.0
50.0,0.4811781517921034,0.006343684862063505,0.053507238319081184,0.0
