mu,covariates,alpha precision,kl divergence,wrong assignment,likelihood
1.0,20.0,0.7238333333333333,0.8344656459405875,0.03749999999999998,-200979.28304114388
1.0,20.0,0.8276,0.8586346250877621,0.035499999999999976,-193022.16807299387
1.0,20.0,0.8023333333333333,0.8343702942946482,0.03700000000000003,-193473.103795217
1.0,20.0,0.8789988505747126,0.8288954912063492,0.031000000000000028,-195027.91703033508
1.0,20.0,0.8525310344827586,0.8592225783690423,0.028000000000000025,-194088.17248730714
1.5,20.0,0.8452333333333333,0.8852965984056911,0.02400000000000002,-298856.8114847403
1.5,20.0,0.78,0.8565388682760524,0.020000000000000018,-292296.7201592767
1.5,20.0,0.7803,0.8705930142991852,0.02300000000000002,-311757.4851115432
1.5,20.0,0.8445977011494253,0.8618442005008013,0.018000000000000016,-307735.5420347547
1.5,20.0,0.8032310344827587,0.870202005918706,0.025000000000000022,-302881.1917824625
2.0,20.0,0.7921,0.7188525065324615,0.02400000000000002,-447885.5552949307
2.0,20.0,0.9294540229885058,0.7207334410976469,0.02200000000000002,-438516.58325550676
2.0,20.0,0.8181333333333334,0.6797310886346016,0.025000000000000022,-452458.61842510046
2.0,20.0,0.883964367816092,0.7295764464924404,0.018000000000000016,-442477.44976804534
2.0,20.0,0.9373,0.7399023129094023,0.020499999999999963,-432672.7459333086
2.5,20.0,0.9124252873563219,0.5471652461008639,0.014499999999999957,-610118.5152243102
2.5,20.0,0.8949310344827586,0.5284193151507208,0.014000000000000012,-619230.7135803038
2.5,20.0,0.9477701149425287,0.6162390497196661,0.014499999999999957,-617161.116214201
2.5,20.0,0.876964367816092,0.4292599383024616,0.015499999999999958,-632913.4609169802
2.5,20.0,0.7599333333333333,0.4125972231737508,0.010000000000000009,-614633.6968420569
3.0,20.0,0.9538919540229885,0.4204121591573987,0.013000000000000012,-823837.5594046891
3.0,20.0,0.926848275862069,0.5014128898661907,0.016000000000000014,-829711.4469086594
3.0,20.0,0.8654471264367816,0.36978140045121627,0.018000000000000016,-822145.3292993618
3.0,20.0,0.8738666666666667,0.3842728543582158,0.013000000000000012,-845834.9048521467
3.0,20.0,0.7051333333333334,0.401080378662116,0.019000000000000017,-859687.9759672001
3.5,20.0,0.45020000000000004,0.25329914231188866,0.017000000000000015,-1174539.7447166936
3.5,20.0,0.7141597701149426,0.32576120483009646,0.02300000000000002,-1121947.2688330044
3.5,20.0,0.8060333333333334,0.39715844727600746,0.015499999999999958,-1060146.1516250852
3.5,20.0,0.8139264367816093,0.40415093413273573,0.024499999999999966,-1098047.6248969384
3.5,20.0,0.6759310344827586,0.36162024414339045,0.014000000000000012,-1125836.563863452
4.0,20.0,0.1573,0.38279346992157764,0.010499999999999954,-inf
4.0,20.0,0.7439666666666667,0.3800604042354847,0.013499999999999956,-inf
4.0,20.0,0.9061620689655173,0.33568286853102997,0.016000000000000014,-inf
4.0,20.0,0.923764367816092,0.408162160618901,0.015499999999999958,-1385652.4305959835
4.0,20.0,0.5931,0.3977172532851435,0.010000000000000009,-inf
4.5,20.0,0.9158528735632184,0.3891375957150462,0.008499999999999952,-inf
4.5,20.0,0.8946436781609196,0.3256546562653797,0.014000000000000012,-inf
4.5,20.0,0.5163333333333333,0.3720125973005706,0.017000000000000015,-inf
4.5,20.0,0.7902333333333333,0.38672656316516973,0.01649999999999996,-inf
4.5,20.0,0.4572666666666667,0.3977795940699867,0.017000000000000015,-inf
5.0,20.0,0.9441183908045977,0.42805341078966647,0.010000000000000009,-inf
5.0,20.0,0.5811333333333335,0.38434828899023715,0.016000000000000014,-inf
5.0,20.0,0.9597057471264367,0.3633074182838951,0.01849999999999996,-inf
5.0,20.0,0.9321540229885057,0.4394047335280948,0.012499999999999956,-inf
5.0,20.0,0.6625333333333334,0.3854763829770736,0.01849999999999996,-inf
