subgroups,beta recall,kl,proportion modelled
1.0,0.4051485148514852,0.7955778102949704,0.5
1.0,0.4326732673267327,0.7885279385675052,0.5
1.0,0.43894389438943904,0.7303239084307168,0.5
1.0,0.4743234323432344,0.7788514764275133,0.5
1.0,0.37966996699669975,0.7490798129304785,0.5
2.0,0.4623529411764705,0.6949035115516655,0.3333333333333333
2.0,0.43718954248366004,0.7371957423677754,0.3333333333333333
2.0,0.38921568627450975,0.7329957300314435,0.3333333333333333
2.0,0.4214379084967319,0.731863312690148,0.3333333333333333
2.0,0.38202614379084965,0.75439921485904,0.3333333333333333
3.0,0.35546925566343057,0.6678560613925674,0.25
3.0,0.33398058252427176,0.6807785463816091,0.5
3.0,0.43365695792880254,0.6493979578656255,0.25
3.0,0.41527508090614884,0.6539041773617141,0.25
3.0,0.4258252427184466,0.7073067776570768,0.25
4.0,0.30179487179487186,0.7616575342227967,0.8
4.0,0.24762820512820527,0.5013361626179489,0.8
4.0,0.36576923076923085,0.6777492507544859,0.8
4.0,0.32506410256410256,0.6857099366242357,0.8
4.0,0.22096153846153832,0.4728728595086027,1.0
5.0,0.1845079365079365,0.45936465518054637,0.6666666666666666
5.0,0.11923809523809537,0.3359797503387416,0.6666666666666666
5.0,0.08863492063492062,0.4815103095672164,0.6666666666666666
5.0,0.23765079365079356,0.5067262153935085,0.6666666666666666
5.0,0.3413968253968256,0.5213450802485645,0.6666666666666666
6.0,0.3717610062893082,0.5761648730687162,0.7142857142857143
6.0,0.24540880503144658,0.4260497687271069,0.5714285714285714
6.0,0.4119496855345912,0.5734979750378101,0.7142857142857143
6.0,0.2566037735849057,0.5415855099628578,0.7142857142857143
6.0,0.24949685534591193,0.5422459919771765,0.7142857142857143
7.0,0.30286604361370706,0.5669747092476619,0.625
7.0,0.25489096573208714,0.46544331874219885,0.5
7.0,0.1491588785046729,0.7260954984384899,0.75
7.0,0.3289719626168225,0.5591866754819486,0.75
7.0,0.17644859813084113,0.5300249811022183,0.75
8.0,0.20617283950617293,0.6511495699966063,0.6666666666666666
8.0,0.37691358024691357,0.6707709484030523,0.8888888888888888
8.0,0.29895061728395056,0.6759223775847212,0.5555555555555556
8.0,0.26370370370370355,0.6043154331786912,0.6666666666666666
8.0,0.3245679012345679,0.6976952217594167,0.7777777777777778
9.0,0.26415902140672776,0.7297721727136932,0.7
9.0,0.20110091743119252,0.6413643493212061,0.6
9.0,0.05633027522935785,0.7124004063699778,0.7
9.0,0.3914373088685015,0.6799252707989912,0.8
9.0,0.2811009174311927,0.6084311799677126,0.6
10.0,0.20363636363636362,0.632467394089979,0.8181818181818182
10.0,0.2701818181818181,0.6567076505329573,0.6363636363636364
10.0,0.28787878787878785,0.7418217713182728,1.0
10.0,0.3244242424242425,0.7449236407167072,0.7272727272727273
10.0,0.22084848484848485,0.7617491167835237,0.6363636363636364
