dataset,f0,f1,covariate fidelity
nflow_acic_0.csv,0.7231620385147357,0.6682206682206682,0.6780373478775423
arf_acic_3.csv,0.9787113200156679,0.7168903803131992,0.7636713812013122
nflow_acic_4.csv,0.785553772070626,0.7367521367521368,0.7454717958740159
ctgan_acic_2.csv,0.8989547038327526,0.7796163069544364,0.800939160873969
tvae_acic_0.csv,0.982294423538998,0.8752336062184736,0.8943627568350938
ddpm_acic_0.csv,0.19688979039891807,0.0013605442176871652,0.036296840182596816
arf_acic_1.csv,0.7086162398252929,0.6968847352024922,0.6989808682650418
arf_acic_2.csv,0.8025496590572191,0.7172780435938331,0.732513996544184
nflow_acic_2.csv,0.7046529814271749,0.6122033898305084,0.6287218716276637
tvae_acic_2.csv,0.9730205053375317,0.8521467207572684,0.8737439109217552
ctgan_acic_4.csv,0.861611374407583,0.7555555555555555,0.7745051375162052
ddpm_acic_2.csv,0.07260875015670065,0.12105672105672083,0.11240025311998253
ctgan_acic_1.csv,0.9344414223833988,0.7667149059334298,0.7966835338205756
arf_acic_0.csv,0.7834858773742742,0.7281131049483416,0.7380068656191975
arf_acic_4.csv,0.8020053081686818,0.6780514504652436,0.7001989743947625
ctgan_acic_3.csv,0.9305381727158949,0.7750414593698176,0.802824920438317
tvae_acic_1.csv,0.7849257495096665,0.8265621249699976,0.8191227226074478
ctgan_acic_0.csv,0.7782659636789689,0.6277588168373152,0.6546507643571275
ddpm_acic_1.csv,0.1495974672094076,0.08359788359788345,0.09539039562176678
ddpm_acic_3.csv,0.15883315158124334,0.04016064257028118,0.06136451860764176
tvae_acic_3.csv,0.9707549817569464,0.9184460401378258,0.9277923691484892
tvae_acic_4.csv,0.983248291937947,0.8691169709263016,0.8895094476918143
ddpm_acic_4.csv,0.12071056452301654,0.0,0.02156802673068476
nflow_acic_1.csv,0.7278719397363466,0.5702898550724638,0.5984459210119913
nflow_acic_3.csv,0.8033379694019471,0.5914403292181071,0.6293012570143868
real,0.9999830966869506,0.9991935267797337,0.9993346036186325
