,dataset,policy
0,tvae_ihdp_0.csv,0.5986394557823129
1,ctgan_ihdp_4.csv,0.7891156462585034
2,ddpm_ihdp_1.csv,0.2789115646258503
3,ctgan_ihdp_0.csv,0.7414965986394558
4,arf_ihdp_3.csv,0.7074829931972789
5,ddpm_ihdp_2.csv,0.564625850340136
6,tvae_ihdp_4.csv,0.5918367346938775
7,ddpm_ihdp_3.csv,0.7414965986394558
8,tvae_ihdp_3.csv,0.5918367346938775
9,nflow_ihdp_3.csv,0.3129251700680272
10,ddpm_ihdp_0.csv,0.4897959183673469
11,arf_ihdp_1.csv,0.7482993197278912
12,arf_ihdp_4.csv,0.5578231292517006
13,arf_ihdp_0.csv,0.5850340136054422
14,tvae_ihdp_2.csv,0.3945578231292517
15,nflow_ihdp_1.csv,0.38095238095238093
16,arf_ihdp_2.csv,0.4897959183673469
17,nflow_ihdp_4.csv,0.2857142857142857
18,ctgan_ihdp_3.csv,0.6938775510204082
19,nflow_ihdp_0.csv,0.2585034013605442
20,ddpm_ihdp_4.csv,0.7482993197278912
21,ctgan_ihdp_2.csv,0.7619047619047619
22,tvae_ihdp_1.csv,0.564625850340136
23,nflow_ihdp_2.csv,0.47619047619047616
24,ctgan_ihdp_1.csv,0.7891156462585034
25,real,0.9251700680272109
26,tvae_ihdp_0.csv,0.54421768707483
27,ctgan_ihdp_4.csv,0.7959183673469388
28,ddpm_ihdp_1.csv,0.23809523809523808
29,ctgan_ihdp_0.csv,0.7482993197278912
30,arf_ihdp_3.csv,0.6394557823129252
31,ddpm_ihdp_2.csv,0.5986394557823129
32,tvae_ihdp_4.csv,0.54421768707483
33,ddpm_ihdp_3.csv,0.4013605442176871
34,tvae_ihdp_3.csv,0.5850340136054422
35,nflow_ihdp_3.csv,0.30612244897959184
36,ddpm_ihdp_0.csv,0.5238095238095238
37,arf_ihdp_1.csv,0.7346938775510204
38,arf_ihdp_4.csv,0.6598639455782312
39,arf_ihdp_0.csv,0.5850340136054422
40,tvae_ihdp_2.csv,0.4557823129251701
41,nflow_ihdp_1.csv,0.20408163265306123
42,arf_ihdp_2.csv,0.5918367346938775
43,nflow_ihdp_4.csv,0.4897959183673469
44,ctgan_ihdp_3.csv,0.4557823129251701
45,nflow_ihdp_0.csv,0.3401360544217687
46,ddpm_ihdp_4.csv,0.54421768707483
47,ctgan_ihdp_2.csv,0.8095238095238095
48,tvae_ihdp_1.csv,0.673469387755102
49,nflow_ihdp_2.csv,0.3129251700680272
50,ctgan_ihdp_1.csv,0.7414965986394558
51,real,0.9455782312925171
52,tvae_ihdp_0.csv,0.54421768707483
53,ctgan_ihdp_4.csv,0.782312925170068
54,ddpm_ihdp_1.csv,0.2585034013605442
55,ctgan_ihdp_0.csv,0.7210884353741497
56,arf_ihdp_3.csv,0.564625850340136
57,ddpm_ihdp_2.csv,0.4965986394557823
58,tvae_ihdp_4.csv,0.5714285714285714
59,ddpm_ihdp_3.csv,0.7278911564625851
60,tvae_ihdp_3.csv,0.43537414965986393
61,nflow_ihdp_3.csv,0.2925170068027211
62,ddpm_ihdp_0.csv,0.54421768707483
63,arf_ihdp_1.csv,0.7891156462585034
64,arf_ihdp_4.csv,0.6462585034013606
65,arf_ihdp_0.csv,0.6394557823129252
66,tvae_ihdp_2.csv,0.54421768707483
67,nflow_ihdp_1.csv,0.19727891156462585
68,arf_ihdp_2.csv,0.5918367346938775
69,nflow_ihdp_4.csv,0.2925170068027211
70,ctgan_ihdp_3.csv,0.48299319727891155
71,nflow_ihdp_0.csv,0.3945578231292517
72,ddpm_ihdp_4.csv,0.4557823129251701
73,ctgan_ihdp_2.csv,0.7278911564625851
74,tvae_ihdp_1.csv,0.5510204081632653
75,nflow_ihdp_2.csv,0.5102040816326531
76,ctgan_ihdp_1.csv,0.7074829931972789
77,real,0.9183673469387755
