dataset,D
tvae_ihdp_0.csv,0.8434488670203444
ctgan_ihdp_4.csv,0.8802150362636066
ddpm_ihdp_1.csv,0.8560639217922783
ctgan_ihdp_0.csv,0.8331281830507039
arf_ihdp_3.csv,0.8447408921232961
ddpm_ihdp_2.csv,0.8520550163361581
tvae_ihdp_4.csv,0.7816358624520222
ddpm_ihdp_3.csv,0.8506000531528907
tvae_ihdp_3.csv,0.8674230012298717
nflow_ihdp_3.csv,0.8519812209002512
ddpm_ihdp_0.csv,0.8402317916207358
arf_ihdp_1.csv,0.8651437915547168
arf_ihdp_4.csv,0.8518504410027435
arf_ihdp_0.csv,0.8853324028362356
tvae_ihdp_2.csv,0.829157467474761
nflow_ihdp_1.csv,0.8553833875393365
arf_ihdp_2.csv,0.8370242066548729
nflow_ihdp_4.csv,0.8285905769499791
ctgan_ihdp_3.csv,0.8466477527216646
nflow_ihdp_0.csv,0.8564643882319264
ddpm_ihdp_4.csv,0.8622551534640439
ctgan_ihdp_2.csv,0.8151939644326446
tvae_ihdp_1.csv,0.8126717174971817
nflow_ihdp_2.csv,0.8354387114101794
ctgan_ihdp_1.csv,0.8695109630404912
real,1.0
