,0
tvae_ihdp_0TNet(),0.16599732262382866
tvae_ihdp_0SNet(),0.46184738955823296
tvae_ihdp_0PWNet(),0.5502008032128514
tvae_ihdp_0RANet(),0.13386880856760375
tvae_ihdp_0DRNet(),0.16331994645247658
ctgan_ihdp_4TNet(),0.2797858099062918
ctgan_ihdp_4SNet(),0.26639892904953144
ctgan_ihdp_4PWNet(),0.3092369477911647
ctgan_ihdp_4RANet(),0.23159303882195448
ctgan_ihdp_4DRNet(),0.2289156626506024
ddpm_ihdp_1TNet(),0.12449799196787148
ddpm_ihdp_1SNet(),0.09772423025435073
ddpm_ihdp_1PWNet(),0.40829986613119146
ddpm_ihdp_1RANet(),0.10040160642570281
ddpm_ihdp_1DRNet(),0.1713520749665328
ctgan_ihdp_0TNet(),0.06291834002677377
ctgan_ihdp_0SNet(),0.2248995983935743
ctgan_ihdp_0PWNet(),0.3333333333333333
ctgan_ihdp_0RANet(),0.04685408299866131
ctgan_ihdp_0DRNet(),0.10843373493975904
arf_ihdp_3TNet(),0.22623828647925034
arf_ihdp_3SNet(),0.3360107095046854
arf_ihdp_3PWNet(),0.40829986613119146
arf_ihdp_3RANet(),0.2222222222222222
arf_ihdp_3DRNet(),0.23694779116465864
ddpm_ihdp_2TNet(),0.04685408299866131
ddpm_ihdp_2SNet(),0.041499330655957165
ddpm_ihdp_2PWNet(),0.5033467202141901
ddpm_ihdp_2RANet(),0.0642570281124498
ddpm_ihdp_2DRNet(),0.2101740294511379
tvae_ihdp_4TNet(),0.10843373493975904
tvae_ihdp_4SNet(),0.4029451137884873
tvae_ihdp_4PWNet(),0.5930388219544847
tvae_ihdp_4RANet(),0.12985274431057564
tvae_ihdp_4DRNet(),0.15127175368139223
ddpm_ihdp_3TNet(),0.04551539491298527
ddpm_ihdp_3SNet(),0.07630522088353414
ddpm_ihdp_3PWNet(),0.23293172690763053
ddpm_ihdp_3RANet(),0.06157965194109773
ddpm_ihdp_3DRNet(),0.0535475234270415
tvae_ihdp_3TNet(),0.20883534136546184
tvae_ihdp_3SNet(),0.2958500669344043
tvae_ihdp_3PWNet(),0.47925033467202144
tvae_ihdp_3RANet(),0.19812583668005354
tvae_ihdp_3DRNet(),0.2289156626506024
nflow_ihdp_3TNet(),0.46184738955823296
nflow_ihdp_3SNet(),0.4605087014725569
nflow_ihdp_3PWNet(),0.6760374832663989
nflow_ihdp_3RANet(),0.4484605087014726
nflow_ihdp_3DRNet(),0.4524765729585007
ddpm_ihdp_0TNet(),0.08299866131191433
ddpm_ihdp_0SNet(),0.029451137884872823
ddpm_ihdp_0PWNet(),0.3092369477911647
ddpm_ihdp_0RANet(),0.07095046854082998
ddpm_ihdp_0DRNet(),0.11378848728246319
arf_ihdp_1TNet(),0.11512717536813923
arf_ihdp_1SNet(),0.2101740294511379
arf_ihdp_1PWNet(),0.27710843373493976
arf_ihdp_1RANet(),0.10307898259705489
arf_ihdp_1DRNet(),0.10977242302543508
arf_ihdp_4TNet(),0.038821954484605084
arf_ihdp_4SNet(),0.15796519410977242
arf_ihdp_4PWNet(),0.41365461847389556
arf_ihdp_4RANet(),0.049531459170013385
arf_ihdp_4DRNet(),0.14457831325301204
arf_ihdp_0TNet(),0.2998661311914324
arf_ihdp_0SNet(),0.23293172690763053
arf_ihdp_0PWNet(),0.4203480589022758
arf_ihdp_0RANet(),0.2971887550200803
arf_ihdp_0DRNet(),0.357429718875502
tvae_ihdp_2TNet(),0.20615796519410978
tvae_ihdp_2SNet(),0.31593038821954483
tvae_ihdp_2PWNet(),0.5247657295850067
tvae_ihdp_2RANet(),0.20080321285140562
tvae_ihdp_2DRNet(),0.1927710843373494
nflow_ihdp_1TNet(),0.18340026773761714
nflow_ihdp_1SNet(),0.2878179384203481
nflow_ihdp_1PWNet(),0.49531459170013387
nflow_ihdp_1RANet(),0.20481927710843373
nflow_ihdp_1DRNet(),0.34404283801874164
arf_ihdp_2TNet(),0.14056224899598393
arf_ihdp_2SNet(),0.27041499330655955
arf_ihdp_2PWNet(),0.43105756358768405
arf_ihdp_2RANet(),0.15930388219544847
arf_ihdp_2DRNet(),0.2289156626506024
nflow_ihdp_4TNet(),0.3908969210174029
nflow_ihdp_4SNet(),0.5314591700133868
nflow_ihdp_4PWNet(),0.5863453815261044
nflow_ihdp_4RANet(),0.37751004016064255
nflow_ihdp_4DRNet(),0.40963855421686746
ctgan_ihdp_3TNet(),0.20883534136546184
ctgan_ihdp_3SNet(),0.21552878179384202
ctgan_ihdp_3PWNet(),0.536813922356091
ctgan_ihdp_3RANet(),0.21686746987951808
ctgan_ihdp_3DRNet(),0.49531459170013387
nflow_ihdp_0TNet(),0.643908969210174
nflow_ihdp_0SNet(),0.5809906291834003
nflow_ihdp_0PWNet(),0.8353413654618473
nflow_ihdp_0RANet(),0.6693440428380187
nflow_ihdp_0DRNet(),0.7269076305220884
ddpm_ihdp_4TNet(),0.01740294511378849
ddpm_ihdp_4SNet(),0.03614457831325301
ddpm_ihdp_4PWNet(),0.2289156626506024
ddpm_ihdp_4RANet(),0.02677376171352075
ddpm_ihdp_4DRNet(),0.014725568942436412
ctgan_ihdp_2TNet(),0.0428380187416332
ctgan_ihdp_2SNet(),0.13520749665327977
ctgan_ihdp_2PWNet(),0.22757697456492637
ctgan_ihdp_2RANet(),0.0321285140562249
ctgan_ihdp_2DRNet(),0.06827309236947791
tvae_ihdp_1TNet(),0.19143239625167335
tvae_ihdp_1SNet(),0.3534136546184739
tvae_ihdp_1PWNet(),0.5823293172690763
tvae_ihdp_1RANet(),0.20214190093708165
tvae_ihdp_1DRNet(),0.15796519410977242
nflow_ihdp_2TNet(),0.20481927710843373
nflow_ihdp_2SNet(),0.3908969210174029
nflow_ihdp_2PWNet(),0.7751004016064257
nflow_ihdp_2RANet(),0.21686746987951808
nflow_ihdp_2DRNet(),0.2101740294511379
ctgan_ihdp_1TNet(),0.09370816599732262
ctgan_ihdp_1SNet(),0.17804551539491298
ctgan_ihdp_1PWNet(),0.40160642570281124
ctgan_ihdp_1RANet(),0.0642570281124498
ctgan_ihdp_1DRNet(),0.07898259705488621
realTNet(),0.0107095046854083
realSNet(),0.0107095046854083
realPWNet(),0.11512717536813923
realRANet(),0.006693440428380187
realDRNet(),0.004016064257028112
