dataset,first,second,gen
tvae_ihdp_0.csv,0.33280530545966774,0.0809959006305145,tvae
ctgan_ihdp_4.csv,0.7119526934148988,0.0789758933082965,ctgan
ddpm_ihdp_1.csv,-0.26314566444851767,-0.050938673204580294,ddpm
ctgan_ihdp_0.csv,0.13878704210557208,0.0032920668946454525,ctgan
arf_ihdp_3.csv,0.27128551963173264,0.09815892279345215,arf
ddpm_ihdp_2.csv,0.07938928580798213,0.0682426222326359,ddpm
tvae_ihdp_4.csv,0.6319439780539595,0.0772582173212052,tvae
ddpm_ihdp_3.csv,0.409021957215311,0.08804858728487759,ddpm
tvae_ihdp_3.csv,0.07649126423462094,0.010665922682512425,tvae
nflow_ihdp_3.csv,-0.3702951397250298,0.0012757931948699105,nflow
ddpm_ihdp_0.csv,0.042152449065497595,-0.09198748770344621,ddpm
arf_ihdp_1.csv,0.2084661288694632,0.0978016188449904,arf
arf_ihdp_4.csv,0.4713564641049918,0.04016341413005801,arf
arf_ihdp_0.csv,-0.4343722434464097,-0.12431363401277183,arf
tvae_ihdp_2.csv,-0.33759894241256505,0.04889548597416106,tvae
nflow_ihdp_1.csv,-0.41912793362094636,-0.09918367833470766,nflow
arf_ihdp_2.csv,-0.06218902940834958,-0.0037363880763182484,arf
nflow_ihdp_4.csv,-0.06044319885729127,0.06444271109601238,nflow
ctgan_ihdp_3.csv,-0.07600964687656486,-0.0263680457492983,ctgan
nflow_ihdp_0.csv,-0.38436344651091087,-0.05065517234476178,nflow
ddpm_ihdp_4.csv,0.5196412944155651,-0.05126367869387272,ddpm
ctgan_ihdp_2.csv,-0.0022675927636847393,-0.02954599253601027,ctgan
tvae_ihdp_1.csv,0.16585532693367422,-0.002949924915906339,tvae
nflow_ihdp_2.csv,-0.3122220911786047,-0.002081019829406856,nflow
ctgan_ihdp_1.csv,-0.15651572035969222,0.03916501852819894,ctgan
real,0.6736905652721669,0.18404482764953142,real
tvae_ihdp_0.csv,0.1952334376207225,0.0006915976951350025,tvae
ctgan_ihdp_4.csv,0.2527276750640314,0.07460163809851666,ctgan
ddpm_ihdp_1.csv,-0.36976130017444153,-0.006420231675135451,ddpm
ctgan_ihdp_0.csv,-0.06271524098502863,0.008811249229494276,ctgan
arf_ihdp_3.csv,0.01879984953187705,-0.010423154373194434,arf
