,dataset,first,second
0,nflow_acic_0.csv,-0.16139989648408098,0.027891130768416695
1,arf_acic_3.csv,0.16327192338363786,0.07874071414200841
2,nflow_acic_4.csv,-0.4269746860175605,-0.1507556202882912
3,ctgan_acic_2.csv,0.4368024018248056,0.04795878022496603
4,tvae_acic_0.csv,-0.005616450245051322,0.12475617722804953
5,ddpm_acic_0.csv,-0.30123975750276755,-0.06474028402656837
6,arf_acic_1.csv,0.6406418881736168,0.09430935139717318
7,arf_acic_2.csv,-0.05416134856733892,0.03564119547972635
8,nflow_acic_2.csv,-0.17080365012932033,-0.0179303560937573
9,tvae_acic_2.csv,0.13317279297007262,0.009267776968646642
10,ctgan_acic_4.csv,-0.4398271996937712,-0.10998038219657212
11,ddpm_acic_2.csv,-0.10384277067985562,0.01786389577091021
12,ctgan_acic_1.csv,0.04477774548692864,-0.0028774899005475133
13,arf_acic_0.csv,0.1266507424511517,0.0004273585733515324
14,arf_acic_4.csv,-0.44826448115792733,-0.03563431111359288
15,ctgan_acic_3.csv,-0.4258555022231266,-0.13014920152932585
16,tvae_acic_1.csv,-0.03204099873880729,-0.006242333367189472
17,ctgan_acic_0.csv,0.5569286746266526,0.05763452356287828
18,ddpm_acic_1.csv,0.18397173805252656,0.0010682800822720726
19,ddpm_acic_3.csv,0.11865806897464587,0.05948870453308449
20,tvae_acic_3.csv,0.25219733378904957,0.04376120626164679
21,tvae_acic_4.csv,0.42860425074275427,0.07184731954978273
22,ddpm_acic_4.csv,0.2889863172851536,-0.0019549760640164057
23,nflow_acic_1.csv,-0.4296781685104676,-0.09037405591414738
24,nflow_acic_3.csv,-0.09692071662539595,-0.045564524698026375
