,dataset,policy
0,nflow_acic_0.csv,0.4077306733167082
1,arf_acic_3.csv,0.5112219451371571
2,nflow_acic_4.csv,0.3640897755610973
3,ctgan_acic_2.csv,0.42144638403990026
4,tvae_acic_0.csv,0.442643391521197
5,ddpm_acic_0.csv,0.516209476309227
6,arf_acic_1.csv,0.35037406483790523
7,arf_acic_2.csv,0.4837905236907731
8,nflow_acic_2.csv,0.35037406483790523
9,tvae_acic_2.csv,0.44139650872817954
10,ctgan_acic_4.csv,0.4925187032418953
11,ddpm_acic_2.csv,0.559850374064838
12,ctgan_acic_1.csv,0.4775561097256858
13,arf_acic_0.csv,0.4451371571072319
14,arf_acic_4.csv,0.36783042394014964
15,ctgan_acic_3.csv,0.4912718204488778
16,tvae_acic_1.csv,0.4513715710723192
17,ctgan_acic_0.csv,0.5124688279301746
18,ddpm_acic_1.csv,0.6109725685785536
19,ddpm_acic_3.csv,0.47506234413965087
20,tvae_acic_3.csv,0.3877805486284289
21,tvae_acic_4.csv,0.49875311720698257
22,ddpm_acic_4.csv,0.42643391521197005
23,nflow_acic_1.csv,0.29177057356608477
24,nflow_acic_3.csv,0.2793017456359102
