dataset,first,second
tvae_ihdp_0.csv,0.036993995,0.16286671768595168
ctgan_ihdp_4.csv,0.46615598,0.008757809574595418
ddpm_ihdp_1.csv,-0.3843598,-0.06253243914843366
ctgan_ihdp_0.csv,0.013356081,0.18732172715933804
arf_ihdp_3.csv,-0.26971552,-0.005703378018137499
ddpm_ihdp_2.csv,0.044055514,-0.2594186101159969
tvae_ihdp_4.csv,-0.33482137,0.07721615016783531
ddpm_ihdp_3.csv,0.60566616,0.0190886964888445
tvae_ihdp_3.csv,-0.47465906,-0.08258343315651627
nflow_ihdp_3.csv,-0.0637551,0.10122682384158276
ddpm_ihdp_0.csv,-0.2101879,-0.11035669925876063
arf_ihdp_1.csv,-0.029750675,-0.034312721540526565
arf_ihdp_4.csv,-0.16596735,-0.06316003230634798
arf_ihdp_0.csv,-0.17529953,0.23131078690429832
tvae_ihdp_2.csv,-0.38222924,0.029485094962882347
nflow_ihdp_1.csv,0.105889276,0.074326111440116
arf_ihdp_2.csv,0.03583161,0.23408665561567055
nflow_ihdp_4.csv,0.3780899,0.051736995358444546
ctgan_ihdp_3.csv,0.59548485,0.16813587965792184
nflow_ihdp_0.csv,0.22550388,-0.05915175667301859
ddpm_ihdp_4.csv,0.45730716,-0.22497642234119833
ctgan_ihdp_2.csv,0.29292145,0.19090926261352642
tvae_ihdp_1.csv,-0.33634543,0.07336199065499312
nflow_ihdp_2.csv,-0.3532737,0.19116966044736178
ctgan_ihdp_1.csv,-0.5480068,0.0812130307954527
real,0.4855506,0.3316655681099502
tvae_ihdp_0.csv,-0.29271352,0.26766934772623946
ctgan_ihdp_4.csv,0.17465866,-0.0913619707927716
ddpm_ihdp_1.csv,0.06665304,-0.05809193158991077
ctgan_ihdp_0.csv,-0.20492679,0.2699288614759488
arf_ihdp_3.csv,0.042639572,0.016943632110281766
ddpm_ihdp_2.csv,0.46142006,-0.36311589658646815
tvae_ihdp_4.csv,-0.24373552,0.09908355966501008
ddpm_ihdp_3.csv,0.002405675,0.04146844477766529
tvae_ihdp_3.csv,-0.41911998,-0.10381107778940983
nflow_ihdp_3.csv,0.2864428,0.06617715069152998
ddpm_ihdp_0.csv,0.041038174,-0.03320546300969321
arf_ihdp_1.csv,-0.09828043,-0.006608570666134763
arf_ihdp_4.csv,0.19280708,0.12231998624229411
arf_ihdp_0.csv,-0.08249391,0.19749077270124235
tvae_ihdp_2.csv,-0.24712332,0.20015260391333298
nflow_ihdp_1.csv,0.11574711,0.033334200200783155
arf_ihdp_2.csv,-0.081424795,0.1419949680107462
nflow_ihdp_4.csv,0.115240745,0.1356098746756554
ctgan_ihdp_3.csv,-0.14367233,0.006414007888093185
nflow_ihdp_0.csv,-0.07198427,-0.05091114581873812
ddpm_ihdp_4.csv,-0.16153386,-0.24992529679007422
ctgan_ihdp_2.csv,0.0016771351,0.08872598510704377
tvae_ihdp_1.csv,0.38974333,-0.12751850276254117
nflow_ihdp_2.csv,-0.09935038,0.25688435982352087
ctgan_ihdp_1.csv,-0.1715308,0.13090369187067358
real,0.6265086,0.39739966706759267
tvae_ihdp_0.csv,-0.20791523,0.12937148577861526
ctgan_ihdp_4.csv,-0.119025886,0.08026532925741404
ddpm_ihdp_1.csv,-0.0068547535,-0.1289182369182279
ctgan_ihdp_0.csv,-0.45633534,0.09371216581353513
arf_ihdp_3.csv,0.036750723,-0.08436969402214499
ddpm_ihdp_2.csv,0.3126769,-0.3552385031033409
tvae_ihdp_4.csv,-0.30974898,0.0533860761127403
ddpm_ihdp_3.csv,0.5919727,0.1622481991018293
tvae_ihdp_3.csv,-0.36785817,-0.009484043553927722
nflow_ihdp_3.csv,-0.45134348,0.04059958897186934
ddpm_ihdp_0.csv,0.4807467,-0.07117470837044561
arf_ihdp_1.csv,0.019152004,0.0006453365366272375
arf_ihdp_4.csv,-0.4766398,-0.05134540471623709
arf_ihdp_0.csv,-0.21466848,0.18840518310273283
tvae_ihdp_2.csv,-0.381636,-0.028343600238400962
nflow_ihdp_1.csv,-0.02217593,-0.08141330979704274
